Attacking\Defending,NORMAL,FIGHTING,FLYING,POISON,GROUND,ROCK,BUG,GHOST,STEEL,FIRE,WATER,GRASS,ELECTRIC,PSYCHIC,ICE,DRAGON,DARK,FAIRY
NORMAL,1,1,1,1,1,0.8,1,0.8,0.8,1,1,1,1,1,1,1,1,1
FIGHTING,1.25,1,0.8,0.8,1,1.25,0.8,0.8,1.25,1,1,1,1,0.8,1.25,1,1.25,0.8
FLYING,1,1.25,1,1,1,0.8,1.25,1,0.8,1,1,1.25,0.8,1,1,1,1,1
POISON,1,1,1,0.8,0.8,0.8,1,0.8,0.8,1,1,1.25,1,1,1,1,1,1.25
GROUND,1,1,0.8,1.25,1,1.25,0.8,1,1.25,1.25,1,0.8,1.25,1,1,1,1,1
ROCK,1,0.8,1.25,1,0.8,1,1.25,1,0.8,1.25,1,1,1,1,1.25,1,1,1
BUG,1,0.8,0.8,0.8,1,1,1,0.8,0.8,0.8,1,1.25,1,1.25,1,1,1.25,0.8
GHOST,0.8,1,1,1,1,1,1,1.25,1,1,1,1,1,1.25,1,1,0.8,1
STEEL,1,1,1,1,1,1.25,1,1,0.8,0.8,0.8,1,0.8,1,1.25,1,1,1.25
FIRE,1,1,1,1,1,0.8,1.25,1,1.25,0.8,0.8,1.25,1,1,1.25,0.8,1,1
WATER,1,1,1,1,1.25,1.25,1,1,1,1.25,0.8,0.8,1,1,1,0.8,1,1
GRASS,1,1,0.8,0.8,1.25,1.25,0.8,1,0.8,0.8,1.25,0.8,1,1,1,0.8,1,1
ELECTRIC,1,1,1.25,1,0.8,1,1,1,1,1,1.25,0.8,0.8,1,1,0.8,1,1
PSYCHIC,1,1.25,1,1.25,1,1,1,1,0.8,1,1,1,1,0.8,1,1,0.8,1
ICE,1,1,1.25,1,1.25,1,1,1,0.8,0.8,0.8,1.25,1,1,0.8,1.25,1,1
DRAGON,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1.25,1,0.8
DARK,1,0.8,1,1,1,1,1,1.25,1,1,1,1,1,1.25,1,1,0.8,0.8
FAIRY,1,1.25,1,0.8,1,1,1,1,0.8,0.8,1,1,1,1,1,1.25,1.25,1